symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2015-08-13 00:00:00+00:00,115.15,116.4,114.54,116.04,48535789,106.3963961808,107.5513722575,105.8327678554,107.2187391474,48535789,0.0,1.0
AAPL,2015-08-14 00:00:00+00:00,115.96,116.31,114.01,114.32,42929516,107.1448206785,107.4682139799,105.3430579989,105.6294920659,42929516,0.0,1.0
AAPL,2015-08-17 00:00:00+00:00,117.16,117.65,115.5,116.04,40884745,108.2535977121,108.7063483341,106.7197894823,107.2187391474,40884745,0.0,1.0
AAPL,2015-08-18 00:00:00+00:00,116.5,117.44,116.01,116.43,34560708,107.6437703436,108.5123123532,107.1910197215,107.5790916833,34560708,0.0,1.0
AAPL,2015-08-19 00:00:00+00:00,115.01,116.52,114.68,116.1,48286510,106.2670388602,107.6622499608,105.962125176,107.2741779991,48286510,0.0,1.0
AAPL,2015-08-20 00:00:00+00:00,112.65,114.35,111.63,114.08,68501622,104.0864440275,105.6572114918,103.143983549,105.4077366592,68501622,0.0,1.0
AAPL,2015-08-21 00:00:00+00:00,105.76,111.9,105.645,110.43,128275471,97.720215893,103.3934583815,97.613958094,102.0352065154,128275471,0.0,1.0
AAPL,2015-08-24 00:00:00+00:00,103.12,108.8,92.0,94.87,162206292,95.2809064192,100.5291177114,85.0062392413,87.6580643133,162206292,0.0,1.0
AAPL,2015-08-25 00:00:00+00:00,103.74,111.11,103.5,111.11,103601599,95.8537745532,102.6635135011,95.6320191465,102.6635135011,103601599,0.0,1.0
AAPL,2015-08-26 00:00:00+00:00,109.69,109.89,105.05,107.085,96774611,101.351460678,101.5362568503,97.0641894815,98.9444905343,96774611,0.0,1.0
AAPL,2015-08-27 00:00:00+00:00,112.92,113.24,110.02,112.25,84616056,104.3359188601,104.6315927357,101.6563743622,103.716851683,84616056,0.0,1.0
AAPL,2015-08-28 00:00:00+00:00,113.29,113.31,111.54,112.17,53164407,104.6777917788,104.696271396,103.0608252715,103.6429332141,53164407,0.0,1.0
